species,measurement,um,comment
SOLY,style_length_1,6379.17,
SOLY,style_width_1,288.59,
SOLY,ovary_legth_1,1465.62,
SOLY,ovary_width_1,1252.75,
SOLY,stigma_length_1,197.59,
SOLY,stigma_width_1,408.26,
SOLY,stigma_area_um_1,70137.37,elipse_5_points
SOLY,stigma_surface_width_1,281.46,diameter
SOLY,style_length_2,6930.5,
SOLY,style_width_2,314.04,
SOLY,ovary_legth_2,1910.23,
SOLY,ovary_width_2,1298.61,
SOLY,stigma_length_2,172.43,
SOLY,stigma_width_2,367.24,
SOLY,stigma_area_um_2,108186.61,elipse_5_points
SOLY,stigma_surface_width_2,326.46,diameter
SOLY,style_length_3,5760.02,
SOLY,style_width_3,288.44,
SOLY,ovary_legth_3,1173.1,
SOLY,ovary_width_3,1180.09,
SOLY,stigma_length_3,174.06,
SOLY,stigma_width_3,343.82,
SOLY,stigma_area_um_3,83725.46,elipse_5_points
SOLY,stigma_surface_width_3,332.2,diameter
SOLY,style_length_4,6076.11,
SOLY,style_width_4,277.93,
SOLY,ovary_legth_4,1055.24,
SOLY,ovary_width_4,895.54,
SOLY,stigma_length_4,125.2,
SOLY,stigma_width_4,316.88,
SOLY,stigma_area_um_4,78134.74,elipse_5_points
SOLY,stigma_surface_width_4,327.43,diameter
SOLY,style_length_5,6332.48,
SOLY,style_width_5,266.49,
SOLY,ovary_legth_5,1274.18,
SOLY,ovary_width_5,1083.9,
SOLY,stigma_length_5,118.72,
SOLY,stigma_width_5,296.85,
SOLY,stigma_area_um_5,69009.99,elipse_5_points
SOLY,stigma_surface_width_5,277.56,diameter
SOLY,style_length_6,6393.37,
SOLY,style_width_6,292.26,
SOLY,ovary_legth_6,1367.11,
SOLY,ovary_width_6,910.8,
SOLY,stigma_length_6,123.36,
SOLY,stigma_width_6,381.93,
SOLY,stigma_area_um_6,88310.71,elipse_5_points
SOLY,stigma_surface_width_6,381.93,diameter
SOLY,style_length_7,7041.52,
SOLY,style_width_7,320.56,
SOLY,ovary_legth_7,931.17,
SOLY,ovary_width_7,1047.38,
SOLY,stigma_length_7,209.17,
SOLY,stigma_width_7,336.28,
SOLY,stigma_area_um_7,84111.46,elipse_5_points
SOLY,stigma_surface_width_7,302.69,diameter
SOLY,style_length_8,6666.64,
SOLY,style_width_8,281.64,
SOLY,ovary_legth_8,1218.58,
SOLY,ovary_width_8,1112.62,
SOLY,stigma_length_8,211.29,
SOLY,stigma_width_8,266.92,
SOLY,stigma_area_um_8,79711.87,elipse_5_points
SOLY,stigma_surface_width_8,271.11,diameter
SOLY,style_length_9,6183.92,
SOLY,style_width_9,309.31,
SOLY,ovary_legth_9,1099.92,
SOLY,ovary_width_9,1071.26,
SOLY,stigma_length_9,267.6,
SOLY,stigma_width_9,358.62,
SOLY,stigma_area_um_9,122740.16,elipse_5_points
SOLY,stigma_surface_width_9,428.64,diameter
SOLY,style_length_10,6763.36,
SOLY,style_width_10,292.13,
SOLY,ovary_legth_10,879.8,
SOLY,ovary_width_10,1194.42,
SOLY,stigma_length_10,NA,
SOLY,stigma_width_10,429.69,
SOLY,stigma_area_um_10,143594.94,elipse_5_points
SOLY,stigma_surface_width_10,412.51,diameter
SOLY,style_length_11,6617.46,
SOLY,style_width_11,328.82,
SOLY,ovary_legth_11,1458.68,
SOLY,ovary_width_11,1241.15,
SOLY,stigma_length_11,219.11,
SOLY,stigma_width_11,320.72,
SOLY,stigma_area_um_11,83660.07,elipse_5_points
SOLY,stigma_surface_width_11,304.88,diameter
SOLY,style_length_12,7041.95,
SOLY,style_width_12,361.28,
SOLY,ovary_legth_12,1002.37,
SOLY,ovary_width_12,1190.68,
SOLY,stigma_length_12,240.58,
SOLY,stigma_width_12,412.51,
SOLY,stigma_area_um_12,95999.56,elipse_5_points
SOLY,stigma_surface_width_12,373.99,diameter
SOLY,style_length_13,5978.12,
SOLY,style_width_13,336.1,
SOLY,ovary_legth_13,902.62,
SOLY,ovary_width_13,999.7,
SOLY,stigma_length_13,253.72,
SOLY,stigma_width_13,357.84,
SOLY,stigma_area_um_13,90482.91,elipse_5_points
SOLY,stigma_surface_width_13,353.24,diameter
SOLY,style_length_14,6370.72,
SOLY,style_width_14,385.01,
SOLY,ovary_legth_14,1366.72,
SOLY,ovary_width_14,1254.04,
SOLY,stigma_length_14,218.76,
SOLY,stigma_width_14,324.83,
SOLY,stigma_area_um_14,84134.17,elipse_5_points
SOLY,stigma_surface_width_14,305.02,diameter
SOLY,style_width_15,5786.79,
SOLY,ovary_legth_15,314.59,
SOLY,ovary_width_15,1268.03,
SOLY,stigma_length_15,131.51,
SOLY,stigma_width_15,NA,
SOLY,stigma_area_um_15,NA,elipse_5_points
SOLY,stigma_surface_width_15,NA,diameter
IPPU,style_length_1,26226.48,
IPPU,style_width_1,578.55,
IPPU,ovary_legth_1,964.38,
IPPU,ovary_width_1,1639.28,
IPPU,stigma_length_1,1434.45,
IPPU,stigma_width_1,1578.67,
IPPU,stigma_area_um_1,1827168.79,
IPPU,stigma_surface_width_1,1603.86,
IPPU,style_length_2,28269.28,
IPPU,style_width_2,710.98,
IPPU,ovary_legth_2,1036.63,
IPPU,ovary_width_2,1542.52,
IPPU,stigma_length_2,1241.6,
IPPU,stigma_width_2,1868.46,
IPPU,stigma_area_um_2,2236208.24,
IPPU,stigma_surface_width_2,1840.37,
IPPU,style_length_3,27937.27,
IPPU,style_width_3,615.64,
IPPU,ovary_legth_3,1074.48,
IPPU,ovary_width_3,1668.26,
IPPU,stigma_length_3,1518.83,
IPPU,stigma_width_3,1829.31,
IPPU,stigma_area_um_3,2175299.85,
IPPU,stigma_surface_width_3,1771.48,
IPPU,style_length_4,30287.7,
IPPU,style_width_4,578.55,
IPPU,ovary_legth_4,1097.16,
IPPU,ovary_width_4,1725.3,
IPPU,stigma_length_4,1122.04,
IPPU,stigma_width_4,2000.54,
IPPU,stigma_area_um_4,2374999.86,
IPPU,stigma_surface_width_4,1976.44,
IPPU,style_length_5,27580.72,
IPPU,style_width_5,605.54,
IPPU,ovary_legth_5,981.11,
IPPU,ovary_width_5,1488.14,
IPPU,stigma_length_5,1311.2,
IPPU,stigma_width_5,1932.65,
IPPU,stigma_area_um_5,2195972.47,
IPPU,stigma_surface_width_5,1880.51,
IPPU,style_length_6,26701.57,
IPPU,style_width_6,580.43,
IPPU,ovary_legth_6,898.55,
IPPU,ovary_width_6,1827.45,
IPPU,stigma_length_6,1313.93,
IPPU,stigma_width_6,1560.17,
IPPU,stigma_area_um_6,2001039.6,
IPPU,stigma_surface_width_6,1699.17,
IPPU,style_length_7,27811.05,
IPPU,style_width_7,547.08,
IPPU,ovary_legth_7,970.38,
IPPU,ovary_width_7,1576.98,
IPPU,stigma_length_7,1123.33,
IPPU,stigma_width_7,1854.35,
IPPU,stigma_area_um_7,1975910.4,
IPPU,stigma_surface_width_7,1733.79,
IPPU,style_length_8,28912.37,
IPPU,style_width_8,579.06,
IPPU,ovary_legth_8,967.99,
IPPU,ovary_width_8,1606.39,
IPPU,stigma_length_8,988.71,
IPPU,stigma_width_8,1763.99,
IPPU,stigma_area_um_8,2143825.75,
IPPU,stigma_surface_width_8,1798.95,
IPPU,style_length_9,28132.13,
IPPU,style_width_9,554.46,
IPPU,ovary_legth_9,1133.31,
IPPU,ovary_width_9,1557.51,
IPPU,stigma_length_9,1543.64,
IPPU,stigma_width_9,2051.47,
IPPU,stigma_area_um_9,2576687.1,
IPPU,stigma_surface_width_9,2048.92,
IPPU,style_length_10,31136.04,
IPPU,style_width_10,518.32,
IPPU,ovary_legth_10,1446.27,
IPPU,ovary_width_10,1242.48,
IPPU,stigma_length_10,1434.45,
IPPU,stigma_width_10,1845.81,
IPPU,stigma_area_um_10,2022610.04,
IPPU,stigma_surface_width_10,1810.81,
IPPU,style_length_11,28543.67,
IPPU,style_width_11,590.97,
IPPU,ovary_legth_11,1160.24,
IPPU,ovary_width_11,1386.66,
IPPU,stigma_length_11,814.86,
IPPU,stigma_width_11,1870.99,
IPPU,stigma_area_um_11,2262499.48,
IPPU,stigma_surface_width_11,1855.09,
IPPU,style_length_12,27562.13,
IPPU,style_width_12,557.92,
IPPU,ovary_legth_12,985.83,
IPPU,ovary_width_12,1362.57,
IPPU,stigma_length_12,1351.79,
IPPU,stigma_width_12,1879.93,
IPPU,stigma_area_um_12,2518512.28,
IPPU,stigma_surface_width_12,1966.14,
IPPU,style_length_13,29363.29,
IPPU,style_width_13,483.38,
IPPU,ovary_legth_13,980,
IPPU,ovary_width_13,1507.93,
IPPU,stigma_length_13,1001.02,
IPPU,stigma_width_13,1804.91,
IPPU,stigma_area_um_13,2153630.49,
IPPU,stigma_surface_width_13,1850.37,
IPPU,style_length_14,26757.39,
IPPU,style_width_14,616.47,
IPPU,ovary_legth_14,957.42,
IPPU,ovary_width_14,1462.15,
IPPU,stigma_length_14,1157.73,
IPPU,stigma_width_14,1919.11,
IPPU,stigma_area_um_14,6363.04,
IPPU,stigma_surface_width_14,1992.61,
IPPU,style_width_15,26138.05,
IPPU,ovary_legth_15,1194.3,
IPPU,ovary_width_15,2008.55,
IPPU,stigma_length_15,1218.39,
IPPU,stigma_width_15,2413.06,
IPPU,stigma_area_um_15,3342546.66,
IPPU,stigma_surface_width_15,2413.06,
BROL,style_length_1,2655.78,
BROL,style_width_1,785.6,
BROL,ovary_legth_1,7142.73,
BROL,ovary_width_1,1446.87,
BROL,stigma_length_1,591.13,
BROL,stigma_width_1,1061.55,
BROL,stigma_area_um_1,922475.85,
BROL,stigma_surface_width_1,989.32,
BROL,style_length_2,2364.05,
BROL,style_width_2,578.55,
BROL,ovary_legth_2,5635.95,
BROL,ovary_width_2,1014.04,
BROL,stigma_length_2,494.79,
BROL,stigma_width_2,872.98,
BROL,stigma_area_um_2,625336.13,
BROL,stigma_surface_width_2,841.85,
BROL,style_length_3,2148.32,
BROL,style_width_3,591.58,
BROL,ovary_legth_3,5430.12,
BROL,ovary_width_3,1003.75,
BROL,stigma_length_3,410.01,
BROL,stigma_width_3,819.79,
BROL,stigma_area_um_3,564811.53,
BROL,stigma_surface_width_3,831.58,
BROL,style_length_4,2283.55,
BROL,style_width_4,591.58,
BROL,ovary_legth_4,5093.17,
BROL,ovary_width_4,994.08,
BROL,stigma_length_4,465.27,
BROL,stigma_width_4,821.31,
BROL,stigma_area_um_4,506832.92,
BROL,stigma_surface_width_4,807.48,
BROL,style_length_5,2917.92,
BROL,style_width_5,747.14,
BROL,ovary_legth_5,7160.13,
BROL,ovary_width_5,1145.38,
BROL,stigma_length_5,542.56,
BROL,stigma_width_5,988.22,
BROL,stigma_area_um_5,710349.71,
BROL,stigma_surface_width_5,940.64,
BROL,style_length_6,2269.49,
BROL,style_width_6,645.93,
BROL,ovary_legth_6,5175.04,
BROL,ovary_width_6,1020.97,
BROL,stigma_length_6,451.81,
BROL,stigma_width_6,824.84,
BROL,stigma_area_um_6,555449.15,
BROL,stigma_surface_width_6,855.68,
BROL,style_length_7,2751.62,
BROL,style_width_7,628.72,
BROL,ovary_legth_7,6636.3,
BROL,ovary_width_7,1132.82,
BROL,stigma_length_7,532.14,
BROL,stigma_width_7,999.85,
BROL,stigma_area_um_7,771119.43,
BROL,stigma_surface_width_7,989.98,
BROL,style_length_8,2269.6,
BROL,style_width_8,620.34,
BROL,ovary_legth_8,6089.51,
BROL,ovary_width_8,942.72,
BROL,stigma_length_8,450.04,
BROL,stigma_width_8,843.98,
BROL,stigma_area_um_8,562374.91,
BROL,stigma_surface_width_8,844.32,
BROL,style_length_9,2264.68,
BROL,style_width_9,803.89,
BROL,ovary_legth_9,6195.06,
BROL,ovary_width_9,1197.93,
BROL,stigma_length_9,558.38,
BROL,stigma_width_9,850.92,
BROL,stigma_area_um_9,484327.74,
BROL,stigma_surface_width_9,807.39,
BROL,style_length_10,2803.12,
BROL,style_width_10,908.92,
BROL,ovary_legth_10,8474.38,
BROL,ovary_width_10,1338.48,
BROL,stigma_length_10,669.93,
BROL,stigma_width_10,1014.33,
BROL,stigma_area_um_10,679644.85,
BROL,stigma_surface_width_10,903.79,
BROL,style_length_11,1892.49,
BROL,style_width_11,602.53,
BROL,ovary_legth_11,5508.92,
BROL,ovary_width_11,1014.04,
BROL,stigma_length_11,423.43,
BROL,stigma_width_11,874.4,
BROL,stigma_area_um_11,549798.7,
BROL,stigma_surface_width_11,819.79,
BROL,style_length_12,2483.35,
BROL,style_width_12,531.46,
BROL,ovary_legth_12,5474.06,
BROL,ovary_width_12,1003.75,
BROL,stigma_length_12,471.49,
BROL,stigma_width_12,892.48,
BROL,stigma_area_um_12,558905.47,
BROL,stigma_surface_width_12,807.39,
BROL,style_length_13,2304.83,
BROL,style_width_13,662.89,
BROL,ovary_legth_13,5581.24,
BROL,ovary_width_13,940.02,
BROL,stigma_length_13,397.78,
BROL,stigma_width_13,879.78,
BROL,stigma_area_um_13,603700.31,
BROL,stigma_surface_width_13,831.58,
BROL,style_length_14,1134.66,
BROL,style_width_14,414.13,
BROL,ovary_legth_14,3387.88,
BROL,ovary_width_14,1028.27,
BROL,stigma_length_14,660.6,
BROL,stigma_width_14,367.18,
BROL,stigma_area_um_14,309463.55,
BROL,stigma_surface_width_14,662.89,
BROL,style_width_15,2662.39,
BROL,ovary_legth_15,766.06,
BROL,ovary_width_15,1459.91,
BROL,stigma_length_15,797.79,
BROL,stigma_width_15,1161.54,
BROL,stigma_area_um_15,927915.6,
BROL,stigma_surface_width_15,1048.47,
PEIN,style_length_1,15115.79,
PEIN,style_width_min_1,363.32,
PEIN,style_width_max_1,578.93,
PEIN,ovary_legth_1,1616.98,
PEIN,ovary_width_1,2892.94,
PEIN,stigma_length_1,630.88,
PEIN,stigma_width_1,1170.04,
PEIN,stigma_area_um_1,1043733.31,
PEIN,stigma_surface_width_1,1476.36,
PEIN,style_length_2,15700,
PEIN,style_width_min_2,266.21,
PEIN,style_width_max_2,582.09,
PEIN,ovary_legth_2,3964.4,
PEIN,ovary_width_2,2063.95,
PEIN,stigma_length_2,668.51,
PEIN,stigma_width_2,1116.7,
PEIN,stigma_area_um_2,1183904.86,
PEIN,stigma_surface_width_2,1391.42,
PEIN,style_length_3,15015.23,
PEIN,style_width_min_3,291.47,
PEIN,style_width_max_3,567.53,
PEIN,ovary_legth_3,3534.72,
PEIN,ovary_width_3,1503.77,
PEIN,stigma_length_3,759.77,
PEIN,stigma_width_3,1652.51,
PEIN,stigma_area_um_3,1179547.19,
PEIN,stigma_surface_width_3,1543.64,
PEIN,style_length_4,14859.17,
PEIN,style_width_min_4,229.28,
PEIN,style_width_max_4,494.07,
PEIN,ovary_legth_4,3745.53,
PEIN,ovary_width_4,1585.1,
PEIN,stigma_length_4,651.91,
PEIN,stigma_width_4,1375.67,
PEIN,stigma_area_um_4,1079320.9,
PEIN,stigma_surface_width_4,1390.42,
PEIN,style_length_5,14676.85,
PEIN,style_width_min_5,253.35,
PEIN,style_width_max_5,574.53,
PEIN,ovary_legth_5,3465.51,
PEIN,ovary_width_5,1795.9,
PEIN,stigma_length_5,747.14,
PEIN,stigma_width_5,1090.33,
PEIN,stigma_area_um_5,1073583.31,
PEIN,stigma_surface_width_5,1540.05,
PEIN,style_length_6,15826.53,
PEIN,style_width_min_6,326.26,
PEIN,style_width_max_6,655.87,
PEIN,ovary_legth_6,3600.69,
PEIN,ovary_width_6,1771.48,
PEIN,stigma_length_6,903.52,
PEIN,stigma_width_6,1332.59,
PEIN,stigma_area_um_6,1291746.58,
PEIN,stigma_surface_width_6,1458.82,
PEIN,style_length_7,14992.07,
PEIN,style_width_min_7,294.06,
PEIN,style_width_max_7,659.15,
PEIN,ovary_legth_7,3094.78,
PEIN,ovary_width_7,2074.97,
PEIN,stigma_length_7,1091.59,
PEIN,stigma_width_7,1552.04,
PEIN,stigma_area_um_7,1544010.45,
PEIN,stigma_surface_width_7,1572.96,
PEIN,style_length_8,14867.46,
PEIN,style_width_min_8,242.9,
PEIN,style_width_max_8,566.26,
PEIN,ovary_legth_8,3089.51,
PEIN,ovary_width_8,1432.62,
PEIN,stigma_length_8,909.24,
PEIN,stigma_width_8,1350.53,
PEIN,stigma_area_um_8,1170456.46,
PEIN,stigma_surface_width_8,1430.81,
PEIN,style_length_9,15586.53,
PEIN,style_width_min_9,270.61,
PEIN,style_width_max_9,741.28,
PEIN,ovary_legth_9,2954.94,
PEIN,ovary_width_9,1757.41,
PEIN,stigma_length_9,713.39,
PEIN,stigma_width_9,1397.43,
PEIN,stigma_area_um_9,1452434.39,
PEIN,stigma_surface_width_9,1920.3,
PEIN,style_length_10,12832.42,
PEIN,style_width_min_10,259.58,
PEIN,style_width_max_10,526.03,
PEIN,ovary_legth_10,2594.65,
PEIN,ovary_width_10,1500.32,
PEIN,stigma_length_10,725.73,
PEIN,stigma_width_10,1181.99,
PEIN,stigma_area_um_10,935983.6,
PEIN,stigma_surface_width_10,1483.44,
PEIN,style_length_11,15047.43,
PEIN,style_width_min_11,270.85,
PEIN,style_width_max_11,665.74,
PEIN,ovary_legth_11,3321.13,
PEIN,ovary_width_11,1668.91,
PEIN,stigma_length_11,852.6,
PEIN,stigma_width_11,1101.04,
PEIN,stigma_area_um_11,1236467.53,
PEIN,stigma_surface_width_11,1764.38,
PEIN,style_length_12,15613.99,
PEIN,style_width_min_12,216.89,
PEIN,style_width_max_12,655.59,
PEIN,ovary_legth_12,3269.25,
PEIN,ovary_width_12,1904.01,
PEIN,stigma_length_12,978.96,
PEIN,stigma_width_12,1565,
PEIN,stigma_area_um_12,1059484.08,
PEIN,stigma_surface_width_12,1563.02,
PEIN,style_length_13,15109.92,
PEIN,style_width_13,283.91,
PEIN,style_width_13,665.64,
PEIN,ovary_legth_13,3475.38,
PEIN,ovary_width_13,1723.35,
PEIN,stigma_length_13,809.96,
PEIN,stigma_width_13,1312.37,
PEIN,stigma_area_um_13,1210330.2,
PEIN,stigma_surface_width_13,1606.44,
PEIN,style_length_14,12105.76,
PEIN,style_width_min_14,215.42,
PEIN,style_width_max_14,766.82,
PEIN,ovary_legth_14,2639.55,
PEIN,ovary_width_14,1388.03,
PEIN,stigma_length_14,824.14,
PEIN,stigma_width_14,1367.32,
PEIN,stigma_area_um_14,855218.61,
PEIN,stigma_surface_width_14,1510.32,
PEIN,style_length_15,12327.95,
PEIN,style_width_min_15,285.48,
PEIN,style_width_max_15,706.41,
PEIN,ovary_legth_15,2566.93,
PEIN,ovary_width_15,1511.09,
PEIN,stigma_length_15,729.02,
PEIN,stigma_width_15,1271,
PEIN,stigma_area_um_15,1210012.23,
PEIN,stigma_surface_width_15,1655.75,
SOME,style_length_1,11250.57,
SOME,style_width_min_1,940.64,
SOME,style_width_max_1,1091.23,
SOME,ovary_legth_1,3942.06,
SOME,ovary_width_1,3868.91,
SOME,stigma_length_1,1017.06,
SOME,stigma_width_1,1482.41,
SOME,stigma_area_um_1,1479064.01,
SOME,stigma_surface_width_1,1529.27,
SOME,style_length_2,11354.77,
SOME,style_width_min_2,904.02,
SOME,style_width_max_2,1048.47,
SOME,ovary_legth_2,3508.18,
SOME,ovary_width_2,3687.5,
SOME,stigma_length_2,759.77,
SOME,stigma_width_2,1373.82,
SOME,stigma_area_um_2,1273164.35,
SOME,stigma_surface_width_2,1410.5,
SOME,style_length_3,11132.86,
SOME,style_width_min_3,974.97,
SOME,style_width_max_3,1128.27,
SOME,ovary_legth_3,4423.79,
SOME,ovary_width_3,3497.03,
SOME,stigma_length_3,980.22,
SOME,stigma_width_3,1478.02,
SOME,stigma_area_um_3,1492460.63,
SOME,stigma_surface_width_3,1512.11,
SOME,style_length_4,10431.92,
SOME,style_width_min_4,705.89,
SOME,style_width_max_4,892.27,
SOME,ovary_legth_4,4387.35,
SOME,ovary_width_4,3105.92,
SOME,stigma_length_4,1030.78,
SOME,stigma_width_4,1093.64,
SOME,stigma_area_um_4,880705.02,
SOME,stigma_surface_width_4,1183.44,
SOME,style_length_5,11562.31,
SOME,style_width_min_5,1137.64,
SOME,style_width_max_5,850.22,
SOME,ovary_legth_5,3286.58,
SOME,ovary_width_5,3562.75,
SOME,stigma_length_5,800.38,
SOME,stigma_width_5,1317.26,
SOME,stigma_area_um_5,1145576.38,
SOME,stigma_surface_width_5,1366.43,
SOME,style_length_6,11748.78,
SOME,style_width_min_6,798.67,
SOME,style_width_max_6,937.42,
SOME,ovary_legth_6,3577.5,
SOME,ovary_width_6,3113.02,
SOME,stigma_length_6,1053.28,
SOME,stigma_width_6,1247.62,
SOME,stigma_area_um_6,860990.93,
SOME,stigma_surface_width_6,1291.56,
SOME,style_length_7,11546.03,
SOME,style_width_min_7,893.4,
SOME,style_width_max_7,956.67,
SOME,ovary_legth_7,4209.31,
SOME,ovary_width_7,3519.97,
SOME,stigma_length_7,983.58,
SOME,stigma_width_7,1054.84,
SOME,stigma_area_um_7,767457.37,
SOME,stigma_surface_width_7,1065.57,
SOME,style_length_8,11950.45,
SOME,style_width_min_8,771.61,
SOME,style_width_max_8,1003.11,
SOME,ovary_legth_8,3822.6,
SOME,ovary_width_8,3520.83,
SOME,stigma_length_8,802.73,
SOME,stigma_width_8,1406.39,
SOME,stigma_area_um_8,1055528.98,
SOME,stigma_surface_width_8,1300.65,
SOME,style_length_9,10930.32,
SOME,style_width_min_9,1719.41,
SOME,style_width_max_9,1156.92,
SOME,ovary_legth_9,5846.11,
SOME,ovary_width_9,4736.43,
SOME,stigma_length_9,1143.77,
SOME,stigma_width_9,1787.88,
SOME,stigma_area_um_9,2576541.85,
SOME,stigma_surface_width_9,2085.97,
SOME,style_length_10,11810.7,
SOME,style_width_min_10,768.7,
SOME,style_width_max_10,958.16,
SOME,ovary_legth_10,4363.63,
SOME,ovary_width_10,3446.49,
SOME,stigma_length_10,1066.68,
SOME,stigma_width_10,1078.53,
SOME,stigma_area_um_10,981023.63,
SOME,stigma_surface_width_10,1189.58,
SOME,style_length_11,11896.75,
SOME,style_width_min_11,772.74,
SOME,style_width_max_11,926.97,
SOME,ovary_legth_11,4327.59,
SOME,ovary_width_11,3326.05,
SOME,stigma_length_11,903.37,
SOME,stigma_width_11,1067.72,
SOME,stigma_area_um_11,940458.78,
SOME,stigma_surface_width_11,1372.2,
SOME,style_length_12,10869.41,
SOME,style_width_min_12,801.41,
SOME,style_width_max_12,1139.82,
SOME,ovary_legth_12,3749.22,
SOME,ovary_width_12,3789.95,
SOME,stigma_length_12,907.23,
SOME,stigma_width_12,1302.79,
SOME,stigma_area_um_12,1143087.6,
SOME,stigma_surface_width_12,1299.39,
SOME,style_length_13,10156.03,
SOME,style_width_13,852.8,
SOME,style_width_13,1073.61,
SOME,ovary_legth_13,3356.65,
SOME,ovary_width_13,3411.72,
SOME,stigma_length_13,1046.74,
SOME,stigma_width_13,1473.3,
SOME,stigma_area_um_13,1496200.72,
SOME,stigma_surface_width_13,1489.13,
SOME,style_length_14,11851.29,
SOME,style_width_min_14,799.01,
SOME,style_width_max_14,1139.01,
SOME,ovary_legth_14,3830.34,
SOME,ovary_width_14,3641.48,
SOME,stigma_length_14,1074.71,
SOME,stigma_width_14,1574.05,
SOME,stigma_area_um_14,1550241.64,
SOME,stigma_surface_width_14,1555.79,
SOME,style_length_15,11447.29,
SOME,style_width_min_15,745.52,
SOME,style_width_max_15,990.26,
SOME,ovary_legth_15,3676.4,
SOME,ovary_width_15,3088.45,
SOME,stigma_length_15,857.08,
SOME,stigma_width_15,1244.17,
SOME,stigma_area_um_15,856157.81,
SOME,stigma_surface_width_15,1241.22,
SIAL,style_length_1,2706.24,
SIAL,style_width_min_1,487.97,
SIAL,style_width_max_1,721.27,
SIAL,ovary_legth_1,1485.09,
SIAL,ovary_width_1,691.76,
SIAL,stigma_length_1,357.33,
SIAL,stigma_width_1,592.16,
SIAL,stigma_area_um_1,295320.78,
SIAL,stigma_surface_width_1,796.11,
SIAL,style_length_2,4317.32,
SIAL,style_width_min_2,665.77,
SIAL,style_width_max_2,1138.91,
SIAL,ovary_legth_2,1951.27,
SIAL,ovary_width_2,1294.43,
SIAL,stigma_length_2,695.23,
SIAL,stigma_width_2,1171.71,
SIAL,stigma_area_um_2,693170.32,
SIAL,stigma_surface_width_2,1182.87,
SIAL,style_length_3,4615.56,
SIAL,style_width_min_3,761.54,
