"","Species","Non_focal","value","col_focal","col_non_focal","variable","value.1","close_related","compatibility"
"11","BROL","BRRA",1.80278990126951,"red","red","BRRA",0.0894427190999916,1,"cyan"
"31","BROL","ERSA",2.71896181830811,"red","red","ERSA",0.173205080756888,1,"cyan"
"71","BROL","SIAL",2.54163822146193,"red","red","SIAL",0.161245154965971,1,"cyan"
"2","BRRA","BROL",0.843842127318538,"red","red","BROL",0.0894427190999916,1,"cyan"
"32","BRRA","ERSA",2.74655253431302,"red","red","ERSA",0.173205080756888,1,"cyan"
"72","BRRA","SIAL",2.74655253431302,"red","red","SIAL",0.130384048104053,1,"cyan"
"4","ERSA","BROL",1.04798547472423,"red","red","BROL",0.173205080756888,1,"red"
"14","ERSA","BRRA",0,"red","red","BRRA",0.173205080756888,1,"red"
"74","ERSA","SIAL",0,"red","red","SIAL",0.173205080756888,1,"red"
"8","SIAL","BROL",0.734188096328756,"red","red","BROL",0.161245154965971,1,"red"
"18","SIAL","BRRA",1.19305565653423,"red","red","BRRA",0.130384048104053,1,"red"
"38","SIAL","ERSA",0.734188096328756,"red","red","ERSA",0.173205080756888,1,"red"
"29","SOLY","CAAN",2.67486984726442,"blue","blue","CAAN",0.388587184554509,1,"black"
"69","SOLY","PEIN",1.83847037608132,"blue","blue","PEIN",0.343511280746353,1,"black"
"99","SOLY","SOME",1.81916884982325,"blue","blue","SOME",0.333166624979154,1,"black"
"30","SOME","CAAN",1.24431704572742,"blue","blue","CAAN",0.408656334834051,1,"black"
"70","SOME","PEIN",0.568775186268542,"blue","blue","PEIN",0.371483512420134,1,"black"
"90","SOME","SOLY",0.561980943429156,"blue","blue","SOLY",0.333166624979154,1,"black"
"27","PEIN","CAAN",0,"blue","blue","CAAN",0.408656334834051,1,"black"
"87","PEIN","SOLY",1.60313373871502,"blue","blue","SOLY",0.343511280746353,1,"black"
"97","PEIN","SOME",1.65948096178495,"blue","blue","SOME",0.371483512420134,1,"black"
"63","CAAN","PEIN",3.03597985481332,"blue","blue","PEIN",0.408656334834051,1,"black"
"83","CAAN","SOLY",2.51687449103695,"blue","blue","SOLY",0.388587184554509,1,"black"
"93","CAAN","SOME",2.90650602282247,"blue","blue","SOME",0.408656334834051,1,"black"
"55","IPAQ","IPPU",2.41796113960151,"black","blue","IPPU",0.238746727726266,1,"black"
"46","IPPU","IPAQ",0,"black","blue","IPAQ",0.238746727726266,1,"black"
"21","BROL","CAAN",1.59591237161563,"red","blue","CAAN",0.527257053058563,2,"cyan"
"41","BROL","IPAQ",2.68940788550041,"red","blue","IPAQ",0.544977063737549,2,"cyan"
"51","BROL","IPPU",2.7485157511158,"red","blue","IPPU",0.523450093132096,2,"cyan"
"61","BROL","PEIN",2.45297642303884,"red","blue","PEIN",0.493963561409139,2,"cyan"
"81","BROL","SOLY",2.45297642303884,"red","blue","SOLY",0.503984126734166,2,"cyan"
"91","BROL","SOME",2.54163822146193,"red","blue","SOME",0.510881590977792,2,"cyan"
"22","BRRA","CAAN",1.87741321259949,"red","blue","CAAN",0.527257053058563,2,"cyan"
"42","BRRA","IPAQ",2.32372799942535,"red","blue","IPAQ",0.550454357780915,2,"cyan"
"52","BRRA","IPPU",2.69957203043661,"red","blue","IPPU",0.529150262212918,2,"cyan"
"62","BRRA","PEIN",2.74655253431302,"red","blue","PEIN",0.504975246918104,2,"cyan"
"82","BRRA","SOLY",2.30023774748715,"red","blue","SOLY",0.503984126734166,2,"cyan"
"92","BRRA","SOME",2.74655253431302,"red","blue","SOME",0.521536192416212,2,"cyan"
"24","ERSA","CAAN",0.330942781491862,"red","blue","CAAN",0.534789678284837,2,"red"
"44","ERSA","IPAQ",0,"red","blue","IPAQ",0.549545266561363,2,"red"
"54","ERSA","IPPU",0.220628520994575,"red","blue","IPPU",0.537587202228624,2,"red"
"64","ERSA","PEIN",0,"red","blue","PEIN",0.491934955049954,2,"red"
"84","ERSA","SOLY",0.386099911740506,"red","blue","SOLY",0.474341649025257,2,"red"
"94","ERSA","SOME",0,"red","blue","SOME",0.504975246918104,2,"red"
"28","SIAL","CAAN",0,"red","blue","CAAN",0.520576603392815,2,"red"
"48","SIAL","IPAQ",1.07374800496941,"red","blue","IPAQ",0.541294744108974,2,"red"
"58","SIAL","IPPU",0.963621876431493,"red","blue","IPPU",0.53665631459995,2,"red"
"68","SIAL","PEIN",0,"red","blue","PEIN",0.503984126734166,2,"red"
"88","SIAL","SOLY",0,"red","blue","SOLY",0.498998997994986,2,"red"
"98","SIAL","SOME",0,"red","blue","SOME",0.515751878329105,2,"red"
"9","SOLY","BROL",0.902346352564847,"blue","red","BROL",0.503984126734166,2,"black"
"19","SOLY","BRRA",2.23093474332878,"blue","red","BRRA",0.503984126734166,2,"black"
"39","SOLY","ERSA",2.38213003235034,"blue","red","ERSA",0.474341649025257,2,"black"
"49","SOLY","IPAQ",2.63304987370527,"blue","blue","IPAQ",0.46475800154489,2,"black"
"59","SOLY","IPPU",2.62983295266226,"blue","blue","IPPU",0.477493455452533,2,"black"
"79","SOLY","SIAL",2.57514529493105,"blue","red","SIAL",0.498998997994986,2,"black"
"7","PEIN","BROL",1.46060840977344,"blue","red","BROL",0.493963561409139,2,"black"
"17","PEIN","BRRA",1.21975165233727,"blue","red","BRRA",0.504975246918104,2,"black"
"37","PEIN","ERSA",1.25289707767252,"blue","red","ERSA",0.491934955049954,2,"black"
"47","PEIN","IPAQ",1.72687665996663,"blue","blue","IPAQ",0.483735464897913,2,"black"
"57","PEIN","IPPU",2.21190471737248,"blue","blue","IPPU",0.472228758124704,2,"black"
"77","PEIN","SIAL",2.1224120689673,"blue","red","SIAL",0.503984126734166,2,"black"
"10","SOME","BROL",0.867721871201496,"blue","red","BROL",0.510881590977792,2,"black"
"20","SOME","BRRA",1.77038556271983,"blue","red","BRRA",0.521536192416212,2,"black"
"40","SOME","ERSA",0.894575307185733,"blue","red","ERSA",0.504975246918104,2,"black"
"50","SOME","IPAQ",1.97615406014121,"blue","blue","IPAQ",0.408656334834051,2,"black"
"60","SOME","IPPU",1.09840259236729,"blue","blue","IPPU",0.435889894354067,2,"black"
"80","SOME","SIAL",0.697218729470255,"blue","red","SIAL",0.515751878329105,2,"black"
"3","CAAN","BROL",2.62698775001981,"blue","red","BROL",0.527257053058563,2,"black"
"13","CAAN","BRRA",2.75162143875866,"blue","red","BRRA",0.527257053058563,2,"black"
"33","CAAN","ERSA",1.74124153490489,"blue","red","ERSA",0.534789678284837,2,"black"
"43","CAAN","IPAQ",2.57132610262188,"blue","blue","IPAQ",0.4,2,"black"
"53","CAAN","IPPU",3.00572895948835,"blue","blue","IPPU",0.401248052954778,2,"black"
"73","CAAN","SIAL",2.62819778583281,"blue","red","SIAL",0.520576603392815,2,"black"
"5","IPAQ","BROL",2.41796113960151,"black","red","BROL",0.544977063737549,2,"black"
"15","IPAQ","BRRA",2.41796113960151,"black","red","BRRA",0.550454357780915,2,"black"
"25","IPAQ","CAAN",2.41796113960151,"black","blue","CAAN",0.4,2,"black"
"35","IPAQ","ERSA",2.41796113960151,"black","red","ERSA",0.549545266561363,2,"black"
"65","IPAQ","PEIN",1.81347085470113,"black","blue","PEIN",0.483735464897913,2,"black"
"75","IPAQ","SIAL",2.41796113960151,"black","red","SIAL",0.541294744108974,2,"black"
"85","IPAQ","SOLY",2.11571599715132,"black","blue","SOLY",0.46475800154489,2,"black"
"95","IPAQ","SOME",2.41796113960151,"black","blue","SOME",0.408656334834051,2,"black"
"6","IPPU","BROL",0,"black","red","BROL",0.523450093132096,2,"black"
"16","IPPU","BRRA",0.608392541894522,"black","red","BRRA",0.529150262212918,2,"black"
"26","IPPU","CAAN",1.05085984509054,"black","blue","CAAN",0.401248052954778,2,"black"
"36","IPPU","ERSA",0.995551432191036,"black","red","ERSA",0.537587202228624,2,"black"
"66","IPPU","PEIN",0.387158890296514,"black","blue","PEIN",0.472228758124704,2,"black"
"76","IPPU","SIAL",0.497775716095518,"black","red","SIAL",0.53665631459995,2,"black"
"86","IPPU","SOLY",1.05085984509054,"black","blue","SOLY",0.477493455452533,2,"black"
"96","IPPU","SOME",0.221233651598008,"black","blue","SOME",0.435889894354067,2,"black"
