CAAN;SOLY;SOME;PEIN;BROL;BRRA;ERSA;SIAL;COSA;IPAQ;IPCO;IPPU
287;131;1316;138;28;26;25;5;4;6;6;6
195;103;800;225;34;30;22;5;4;6;6;6
203;87;924;237;29;23;18;6;4;6;6;6
129;116;1079;256;35;27;32;6;4;6;6;6
178;164;893;211;38;31;26;5;4;6;6;6
148;79;1232;240;33;26;18;5;4;6;6;6
243;86;1540;247;28;31;25;6;4;6;6;6
248;89;773;206;28;24;26;5;4;6;6;6
245;54;468;179;21;22;25;9;4;6;6;6
218;55;814;260;28;28;24;5;4;6;6;6
189;80;952;152;25;23;25;9;4;6;6;6
273;58;1335;203;28;25;21;6;4;6;6;6
485;72;793;311;24;29;25;6;4;6;6;6
297;91;833;237;28;24;27;11;4;6;6;6
274;117;1401;203;32;28;22;6;4;6;6;6